word,dim1,dim2,dim3
トラック,-3.918827e-2,-0.6315931,-0.20914154
バス,-6.0403965e-2,-0.8183893,-6.287552e-2
バラ,-0.6283018,0.34743705,-0.33370733
ヒマワリ,-0.5333248,0.27103537,-0.27111077
マグロ,-3.5839923e-2,0.29659218,0.64329106
乗り物,-6.0496002e-2,-0.8190575,-6.2719874e-2
動物,-2.6002346e-2,0.33281785,0.73821676
国語,0.74810344,0.13841808,-0.20388173
教科,0.7479437,0.1409215,-0.2016693
松,-0.6267664,0.34635878,-0.33283615
桜,-0.6279839,0.3473704,-0.3335948
植物,-0.6301412,0.34867918,-0.33488068
歴史,0.61525846,0.14020526,-0.14700986
犬,-2.596476e-2,0.33292794,0.7384332
理科,0.7475743,0.13983883,-0.20252092
社会,0.617184,0.14006916,-0.14785965
算数,0.74816096,0.14090732,-0.20177042
花びら,-0.53468317,0.27218482,-0.2720924
荷台,-3.9052106e-2,-0.6291375,-0.21132834
車,-4.5496475e-2,-0.6816233,-0.15957531
電車,-6.0545817e-2,-0.8186248,-6.255462e-2
魚,-3.6096446e-2,0.29612476,0.64198494
鳥,-2.5973292e-2,0.33274907,0.7380248
