word,dim1,dim2,dim3,dim4,dim5
トラック,-0.16157313,-0.38029176,1.9709872e-2,-0.36132714,6.532472e-3
バス,-0.19338399,-0.47654495,4.1729864e-2,-0.44279993,2.2288496e-2
バラ,-0.14671558,0.47360212,0.34319407,0.13557222,0.15404454
ヒマワリ,-0.118880324,0.4239376,0.29447985,0.12602179,0.13724232
マグロ,-8.685841e-3,-0.27752858,-4.225625e-2,0.48027128,3.956613e-2
乗り物,-0.1946304,-0.47876185,4.1080236e-2,-0.44530708,2.1706793e-2
動物,-1.0737704e-2,-0.31892988,-4.6642866e-2,0.57072604,5.0513882e-2
国語,0.33462578,0.2970213,-0.32156655,-0.2840155,-0.21718052
教科,0.33474576,0.29787445,-0.3212664,-0.28361973,-0.2169721
松,-0.14542568,0.4785114,0.3434703,0.13602309,0.15424064
桜,-0.1458015,0.47752365,0.34354952,0.13585782,0.15427935
植物,-0.14783959,0.47944504,0.34674352,0.1374896,0.155962
歴史,0.28677964,0.25082806,-0.27572203,-0.23932728,-0.1847414
犬,-1.0474982e-2,-0.3185736,-4.7190353e-2,0.5643989,4.8974823e-2
猫,-1.03921015e-2,-0.3193744,-4.727964e-2,0.56875736,4.9706712e-2
理科,0.33262378,0.29669267,-0.31879994,-0.28066584,-0.2152374
社会,0.28775066,0.2517961,-0.27662867,-0.24006078,-0.18537635
算数,0.3342049,0.29674298,-0.32123533,-0.28422806,-0.21705286
花びら,-0.11994082,0.4256127,0.29624176,0.12628557,0.13779782
荷台,-0.16070375,-0.3781238,2.015744e-2,-0.35834917,6.9380775e-3
車,-0.16325258,-0.3855287,2.1042489e-2,-0.36494106,7.5512e-3
電車,-0.19428009,-0.4784408,4.1346196e-2,-0.44469896,2.195898e-2
魚,-8.447555e-3,-0.2752408,-4.218741e-2,0.47514778,3.8941965e-2
鳥,-1.02397185e-2,-0.3197066,-4.760213e-2,0.5679535,4.935447e-2
